Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;BSUP VAL pipeline;Val Pipeline(3) ;# etats recharge Pipeline(3);# etats prod Pipeline(3);CPU pipeline(3);Val Pipeline(2) ;# etats recharge Pipeline(2);# etats prod Pipeline(2);CPU pipeline(2);Val Pipeline(2) ;# etats recharge Pipeline(1);# etats prod Pipeline(1);CPU pipeline(1);Val Pipeline(0) ;# etats recharge Pipeline(0);# etats prod Pipeline(0);CPU pipeline(0);Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;Val St(3) chapitre 5;# etats St(3) chapitre 5;# etats St(2);# etats St(1);# etats St(0);VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;8;20;4;169;0,011;141;0;131;0,001;131;0,001;131;131;3;78;0;131;3;669;0,002;131;3;745;0,002;131;3;42;0;131;554;0,004;131;4329;0,023;131;4604;0,026;131;61;0;;;131;554;4329;4604;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;8;25;4;199;0,01;171;0;155;0,001;155;0,002;155;151;3;381;0;151;3;683;0,003;151;3;683;0,003;151;3;84;0;151;1336;0,01;151;4241;0,035;151;4820;0,042;151;159;0,003;;;151;1739;4241;4820;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;8;40;5;173;0,012;152;0,001;149;0,002;144;0,004;144;144;5;99;0;154;5;5932;0,216;154;5;5932;0,22;144;5;29;0;144;2213;0,027;144;129720;15,523;144;131744;15,881;144;63;0,002;;;144;2213;129720;131744;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;10;36;2;211;0,008;198;0,001;160;0,002;155;0,003;155;149;3;748;0,003;149;3;887;0,007;149;3;887;0,007;149;3;142;0;140;1844;0,024;140;4748;0,055;140;4865;0,069;140;281;0,01;;;140;2155;4748;4865;321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;10;50;4;194;0,012;184;0,001;172;0,003;161;0,004;161;161;3;223;0;161;3;6880;0,344;161;3;6880;0,349;161;3;75;0;161;406;0,009;161;82005;9,729;161;83001;9,768;161;48;0,001;;;161;406;82005;83001;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;10;94;1;237;0,018;220;0,002;209;0,003;199;0,007;199;179;3;3142;0,139;179;3;3275;0,181;179;3;3275;0,183;179;3;388;0,007;178;2472;0,041;178;13761;0,65;178;19072;0,831;179;78;0,002;;;178;9960;13761;19072;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;12;32;4;258;0,018;226;0,001;222;0,001;222;0,002;222;222;3;352;0;222;3;531;0,001;222;3;531;0,002;222;3;71;0;222;1732;0,008;222;7914;0,071;222;14375;0,169;222;126;0,001;;;222;1732;7914;14375;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;12;50;4;240;0,016;219;0,002;207;0,003;200;0,005;200;195;3;1189;0,007;195;3;6879;0,332;195;3;6879;0,333;195;3;160;0,001;192;965;0,01;192;37060;4,233;192;39376;4,478;192;72;0,002;;;192;1607;37060;39376;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;15;160;4;715;0,017;702;0,003;683;0,007;680;0,009;680;644;4;15047;5,704;644;4;33344;34,151;644;4;33344;34,694;644;4;200;0,003;644;6962;0,178;0;2154029;3701,13;0;2177113;3793,25;644;161;0,007;;;644;263867;1410815;1344462;286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;20;108;10;1231;0,005;1212;0,002;1191;0,005;1178;0,009;1178;1142;3;8682;0,938;1142;3;10295;1,912;1142;3;10295;1,938;1142;3;128;0,001;1139;49609;2,365;0;1248740;3604,32;0;856247;3621,4;1142;102;0,008;;;1139;326094;716815;1024128;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;10;80;2;181;0,004;168;0,002;154;0,004;140;0,007;140;140;3;343;0,001;147;3;8681;0,836;147;3;8681;0,842;140;3;109;0,001;134;536;0,014;134;42913;6,822;134;43867;7,01;140;29;0,001;;;134;536;42913;43867;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;15;327;4;1033;0,006;1014;0,008;990;0,017;970;0,03;970;916;3;167455;1670,67;0;3;292458;3600;0;3;292458;3600;916;3;1343;0,48;912;12756;1,672;0;1268336;3787,4;0;1268336;3705,9;914;176;0,026;;;0;613249;1020778;1020778;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;20;180;6;1017;0,003;1006;0,005;992;0,008;970;0,017;970;960;4;34943;36,498;960;4;75634;193,632;960;4;75634;193,782;960;4;575;0,055;956;3391;0,154;0;1212601;3813,13;0;1212601;3650,66;960;58;0,004;;;956;7115;1610932;1610932;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;20;440;5;1535;0,003;1535;0,013;1524;0,032;1513;0,062;1513;1387;3;191783;3600;0;3;274485;3600;0;3;314032;3600;1387;3;990;0,334;0;754539;3600,43;0;1001357;3666,82;0;1559487;3842,75;1372;460;0,305;;;0;1550626;1559487;1559487;642;1372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;30;177;8;1407;0,002;1402;0,007;1381;0,013;1371;0,024;1371;1348;4;46227;67,342;1348;4;48830;77,182;1348;4;48830;78,36;1348;4;1485;0,342;1346;88677;22,866;0;1555554;3639,07;0;1516520;3625,74;1348;88;0,017;;;1346;261078;1067321;1115578;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;30;260;6;1398;0,003;1390;0,008;1376;0,019;1361;0,034;1361;1298;5;93550;387,758;1298;5;149187;1176,7;1298;5;149187;1729,44;1298;5;1946;0,675;1291;327838;453,139;0;1118045;3905,05;0;1118045;3630,61;1292;230;0,078;;;0;909386;1118045;1118045;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;30;544;4;1356;0,003;1343;0,025;1324;0,058;1318;0,106;1318;0;5;223991;3600;0;5;279528;3600;0;5;313384;3600;1318;5;3264;5,351;0;900272;3615,24;0;1169832;3812,76;0;1842515;3624,17;1288;410;0,725;;;0;703595;1019333;1169832;410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;50;265;10;2553;0,003;2551;0,018;2518;0,039;2490;0,072;2490;2390;5;78975;381,343;2390;5;124484;1152,14;2390;5;124484;1698,25;2390;5;1921;0,836;0;939836;3740,62;0;736018;3960,3;0;1100890;3651,94;2383;257;0,195;;;0;872810;764772;1256433;390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;50;500;8;2457;0,003;2449;0,038;2449;0,085;2449;0,16;2449;0;4;230526;3600;0;4;349693;3600;0;4;439033;3600;2306;4;10669;67,397;0;1908524;3669,73;0;2010204;3784,92;0;1672789;3811,81;2218;724;2,133;;;0;2238483;2010204;2238483;442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;70;328;10;2807;0,003;2780;0,032;2751;0,06;2733;0,11;2733;2679;6;113612;609,139;0;6;379034;3600;0;6;379034;3600;2679;6;1274;0,335;0;1180949;3631,16;0;1279785;3606,25;0;1227651;3809,68;2655;498;0,996;;;0;1137757;918477;1227651;609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;30;1100;2;1562;0,003;1557;0,048;1542;0,109;1529;0,21;1529;0;4;274431;3600;0;4;352392;3600;0;4;352392;3600;1496;4;11650;63,503;0;1216931;3626,03;0;1309589;3935,5;0;1309589;3619,66;1412;2037;17,505;;;0;1207299;846485;1219554;2138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;30;1200;2;1487;0,003;1482;0,058;1477;0,132;1465;0,26;1465;0;4;262745;3600;0;4;347328;3600;0;4;329060;3600;1365;4;9253;63,399;0;773791;3600,59;0;1296183;3618,29;0;1296183;3755,79;1350;1086;3,33;;;0;1759894;1687911;1850181;5148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;50;634;6;2897;0,003;2885;0,056;2860;0,12;2837;0,225;2837;0;4;321030;3600;0;4;391639;3600;0;4;374281;3600;2743;4;21541;281,643;0;1076713;3805,69;0;1089232;3600,03;0;1318232;3695,73;2596;745;2,53;;;0;1320005;1320005;1320005;1284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;50;850;4;3110;0,003;3094;0,068;3076;0,121;3058;0,222;3058;0;4;330588;3600;0;4;386736;3600;0;4;362386;3600;2943;4;11074;88,849;0;1443810;3949,79;0;1450961;3625,91;0;1450961;3792,57;2807;629;2,253;;;0;1450961;1450961;1450961;1116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;50;1125;4;2153;0,004;2151;0,081;2150;0,185;2147;0,353;2147;0;8;251611;3600;0;8;417729;3600;0;8;417729;3600;2124;8;1832;4,113;0;1683461;3626,42;0;1657137;3785,21;0;1657137;3709,96;2060;1052;8,047;;;0;1626287;1484155;1484155;869;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;70;383;8;2482;0,003;2475;0,027;2460;0,059;2459;0,101;2459;0;6;197492;3600;0;6;352015;3600;0;6;352015;3600;2376;6;94544;4489,96;0;817959;3655,21;0;1568198;4012,43;0;1340569;3758,28;2353;18731;205,206;;;0;1550660;1637832;1637832;53759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;70;683;8;2583;0,003;2564;0,117;2552;0,193;2543;0,361;2543;2475;6;242065;3600,01;0;6;433076;3600;0;6;410623;3600;2475;6;799;0,425;0;704556;3606,82;0;1846319;4080,76;0;2510242;4432,27;2475;488;1,389;;;0;1817157;2510242;2510242;696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;70;984;6;3246;0,003;3243;0,108;3229;0,248;3213;0,493;3213;0;4;309715;3600;0;4;403883;3600;0;4;388750;3600;3138;4;18516;415,682;0;1357220;4288,92;0;1468854;3625,25;0;1468854;3821,61;3066;1997;13,723;;;0;1468315;1468854;1468854;1258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;100;651;8;4750;0,003;4750;0,073;4749;0,149;4740;0,286;4740;0;4;337806;3600;0;4;428650;3600;0;4;380630;3600;4506;4;28811;780,538;0;1861070;3707,21;0;1861070;3938,19;0;2372232;3729,9;4377;1122;4,112;;;0;1764386;1764386;1861070;1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;100;800;10;3654;0,003;3642;0,139;3632;0,296;3621;0,594;3621;0;8;380082;3600;0;8;490597;3600;0;8;490597;3600;3618;8;8068;59,327;0;1766865;3646,29;0;1631771;4064,51;0;1976205;3870,74;3500;1355;20,315;;;0;1122956;1166419;1166419;1207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
